date,time,direction,entry_price,stop_loss,take_profit,exit_price,pnl,result,balance
2026-03-31,10:35,long,23280.55,23260.55,23320.55,23260.55,-120.44,LOSS,7348.75
2026-03-31,12:15,long,23365.65,23345.65,23405.65,23345.65,-118.5,LOSS,7230.25
2026-03-31,12:30,long,23324.65,23324.65,23364.65,23324.65,-8.13,BREAKEVEN,7222.12
2026-04-01,09:40,long,24008.8,23988.8,24048.8,23988.8,-116.46,LOSS,7105.66
2026-04-01,11:05,long,23993.7,23973.7,24033.7,23973.7,-114.58,LOSS,6991.09
2026-04-01,11:40,long,24039.55,24019.55,24079.55,24019.55,-112.73,LOSS,6878.35
2026-04-02,09:55,short,23561.15,23581.15,23521.15,23581.15,-110.91,LOSS,6767.44
2026-04-02,10:10,short,23556.0,23576.0,23516.0,23576.0,-109.12,LOSS,6658.32
2026-04-02,10:40,short,23546.75,23566.75,23506.75,23566.75,-107.37,LOSS,6550.95
2026-04-02,12:55,long,23973.65,23953.65,24013.65,23973.65,-7.37,FORCED_CLOSE,6543.58
2026-04-03,09:25,long,24004.85,24004.85,24044.85,24044.85,188.95,WIN,6732.53
2026-04-03,09:40,long,24003.15,23983.15,24043.15,23983.15,-108.56,LOSS,6623.96
2026-04-06,09:50,short,24157.8,24157.8,24117.8,24157.8,-7.45,BREAKEVEN,6616.51
2026-04-06,10:15,short,24138.95,24138.95,24098.95,24138.95,-7.44,BREAKEVEN,6609.07
2026-04-06,10:35,short,24142.3,24162.3,24102.3,24162.3,-106.57,LOSS,6502.5
2026-04-06,11:10,long,24202.7,24202.7,24242.7,24202.7,-7.32,BREAKEVEN,6495.18
2026-04-06,12:20,short,24133.95,24133.95,24093.95,24133.95,-7.31,BREAKEVEN,6487.88
2026-04-07,09:00,short,24048.8,24068.8,24008.8,24068.8,-104.62,LOSS,6383.26
2026-04-07,09:30,short,24069.8,24069.8,24029.8,24069.8,-7.18,BREAKEVEN,6376.08
2026-04-07,10:15,short,24068.55,24088.55,24028.55,24088.55,-102.81,LOSS,6273.26
2026-04-07,10:40,short,24047.8,24047.8,24007.8,24007.8,181.14,WIN,6454.4
2026-04-07,11:00,short,23933.7,23933.7,23893.7,23893.7,186.37,WIN,6640.77
2026-04-07,12:20,short,23881.7,23901.7,23841.7,23901.7,-107.08,LOSS,6533.69
2026-04-07,12:35,short,23910.95,23930.95,23870.95,23930.95,-105.36,LOSS,6428.34
2026-04-08,09:05,long,25080.45,25060.45,25120.45,25060.45,-103.66,LOSS,6324.68
2026-04-09,09:35,long,24879.0,24879.0,24919.0,24879.0,-7.12,BREAKEVEN,6317.56
2026-04-09,09:55,long,24877.75,24877.75,24917.75,24917.75,182.42,WIN,6499.98
2026-04-09,10:35,long,24909.8,24909.8,24949.8,24949.8,187.69,WIN,6687.67
2026-04-09,10:45,long,24922.75,24902.75,24962.75,24902.75,-107.84,LOSS,6579.83
2026-04-09,12:15,long,24945.25,24925.25,24985.25,24925.25,-106.1,LOSS,6473.73
2026-04-10,09:05,long,25126.1,25126.1,25166.1,25166.1,186.93,WIN,6660.66
2026-04-10,09:30,long,25146.95,25146.95,25186.95,25146.95,-7.49,BREAKEVEN,6653.17
2026-04-10,10:30,long,25184.35,25164.35,25224.35,25164.35,-107.28,LOSS,6545.89
2026-04-10,10:40,long,25170.85,25170.85,25210.85,25170.85,-7.36,BREAKEVEN,6538.52
2026-04-10,10:55,long,25166.45,25146.45,25206.45,25146.45,-105.43,LOSS,6433.09
2026-04-10,11:10,long,25169.85,25169.85,25209.85,25209.85,185.76,WIN,6618.84
2026-04-10,11:55,long,25199.35,25179.35,25239.35,25179.35,-106.73,LOSS,6512.11
2026-04-10,12:10,long,25216.55,25216.55,25256.55,25216.55,-7.33,BREAKEVEN,6504.79
2026-04-13,10:50,long,25124.05,25124.05,25164.05,25164.05,187.83,WIN,6692.61
2026-04-13,12:55,long,25162.7,25142.7,25202.7,25162.7,-7.53,FORCED_CLOSE,6685.08
2026-04-14,09:00,long,25536.75,25516.75,25576.75,25516.75,-107.8,LOSS,6577.29
2026-04-14,09:30,long,25531.4,25511.4,25571.4,25511.4,-106.06,LOSS,6471.23
2026-04-14,10:30,long,25578.45,25578.45,25618.45,25578.45,-7.28,BREAKEVEN,6463.95
2026-04-14,12:10,long,25640.9,25640.9,25680.9,25680.9,186.65,WIN,6650.6
2026-04-15,09:15,short,25829.6,25849.6,25789.6,25849.6,-107.24,LOSS,6543.35
